# Galaxy Catalog
# Field  Spectrograph	Fiber		ID	 4.redshift		5.l_z		6.u_z		7.phot_log[M/Msun]      8.zspec_log[M/Msun]		9.phot_log[age/yr]     10.zspec_log[age/yr]     11.phot_Av		12.zspec_Av     13.phot_log[sfr/(Msol/yr)]      14.zspec_log[sfr/(Msol/yr)]     15.phot_log[ssfr*yr]      16.zspec_log[ssfr*yr]     17.fuv[ergs/s/cm^2/\AA]    18.efuv[ergs/s/cm^2/\AA]        19.Lya_Wavelength[\AA] 	20.Lya_redshift	    21.Lya_SN[sigmas]	      22.Lya_flux[ergs/s/cm^2]        23.Lya_eflux[ergs/s/cm^2/\AA]		 24.fuv_rest[ergs/s/cm^2/\AA]		25.Lya_EW [\AA] 		26.Lya_fuv[ergs/s/cm^2/\AA] 		27.Lya_FWHM[\AA]
# fuv is recovered using Valentinos redshifts (redshift column)
# fuv_rest is recovered using Lya redshifts (Lya_redshift column)
GOODSS	b	19	TGS17018	3.6471	3.531	3.763	9.34	9.34	8.1	8.1	0.5	0.5	1.35	1.35	-7.99	-7.99	8.02707278876e-19	5.48091688219e-20	5318.67682161	3.3750991812	2.17663578863	1.72396142586e-18	7.92030267473e-19	7.55723775807e-19	2.28120575407	2.72914464889e-19	5.93474368309
GOODSS	b	20	TGS17782	3.5451	3.356	3.719	9.01	9.01	8.4	8.4	0.6	0.6	0.75	0.75	-8.27	-8.27	1.7775153738e-19	2.15870103285e-20	6328.91585608	4.20611338281	3.17739302472	5.06406676129e-18	1.59378041114e-18	2.03602705676e-19	24.8722959966	7.33238042249e-19	6.48866586419
GOODSS	b	21	TGS19132	3.4808	3.249	3.722	8.25	8.12	7.86	7.6	0.3	0.4	0.48	0.59	-7.77	-7.53	1.80194535956e-19	9.87425345119e-21	5343.61747227	3.39561515236	6.56418238669	1.20149347834e-17	9.39926478729e-19	1.76768843202e-19	67.9697539779	1.06054010047e-18	7.41825217701
GOODSS	b	22	TGS19329	3.665	3.555	3.78	7.9	7.97	7.7	7.9	0.2	0.1	0.28	0.16	-7.62	-7.8	1.21221314702e-19	2.71262572335e-20	5721.41257153	3.70638624917	8.35990563722	1.00125935441e-17	8.13231017484e-19	1.22296747829e-19	81.8712984752	1.20302757742e-18	6.70634317651
GOODSS	b	23	TGS20010	3.4049	3.342	3.468	9.23	9.23	8.22	8.22	0.4	0.4	1.13	1.13	-8.1	-8.1	7.13840424917e-19	7.39435673243e-21	5238.33596645	3.30901146401	1.96503504433	1.90057289835e-18	9.67195421699e-19	6.98301113406e-19	2.72170967777	3.0453449742e-19	5.86339311961
GOODSS	b	24	TGS7590	3.4706	3.407	3.536	9.74	9.74	8.42	8.42	0.8	0.8	1.46	1.46	-8.29	-8.29	5.95962919183e-19	4.19044364059e-20	6544.51238387	4.3834612879	2.80796519602	2.35855438131e-18	8.39951429828e-19	7.1765385059e-19	3.28647910044	4.86753569425e-19	4.55237182289
GOODSS	b	25	TGS12486	4.0019	3.928	4.078	9.47	9.47	7.62	7.62	1.0	1.0	1.93	1.92	-7.55	-7.55	6.65713677834e-19	6.45083512357e-21	5400.20764018	3.44216575237	3.30031696303	2.12892561733e-18	6.45067016645e-19	5.91217437486e-19	3.60091817722	4.77152404613e-19	4.19183662962
GOODSS	b	26	TGS13418	3.276	3.168	3.382	8.85	8.83	8.36	8.34	0.5	0.5	0.62	0.62	-8.23	-8.21	1.97473075889e-19	8.97175094628e-21	6635.61678191	4.45840300568	2.22158748725	2.00096537918e-18	9.00691685865e-19	2.52078491808e-19	7.93786635594	3.25692404329e-19	5.77208770669
GOODSS	b	27	TGS14964	3.6395	3.532	3.745	9.17	9.17	9.1	9.1	0.0	0.0	0.25	0.25	-8.91	-8.91	2.22797195412e-19	4.28685573481e-20	4890.66559383	3.02302071601	2.96879780528	2.58031145752e-18	8.69143547912e-19	1.93192743316e-19	13.3561510295	6.02199708528e-19	4.02561805381
GOODSS	b	28	TGS15749	3.4027	3.309	3.499	8.54	8.54	7.6	7.6	0.6	0.6	1.01	1.01	-7.53	-7.53	2.96307807855e-19	8.88272063372e-21	6513.97170563	4.35833878078	2.20087825171	2.21216766062e-18	1.00512950178e-18	3.60623621386e-19	6.13428386116	2.67322943739e-19	7.7746846313
